EbN0_dB,BER,FER
4.000000000000000000e+00,2.400000000000000000e+01,1.850000000000000022e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.819999999999999886e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.790000000000000014e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.759999999999999878e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.739999999999999964e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.710000000000000092e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.679999999999999956e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.660000000000000041e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.640000000000000127e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.590000000000000076e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.569999999999999897e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,2.400000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,2.600000000000000000e+01,1.640000000000000127e-07
4.000000000000000000e+00,2.600000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,2.700000000000000000e+01,1.629999999999999905e-07
4.000000000000000000e+00,2.700000000000000000e+01,1.609999999999999991e-07
4.000000000000000000e+00,2.700000000000000000e+01,1.590000000000000076e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.590000000000000076e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.580000000000000119e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,2.800000000000000000e+01,1.499999999999999932e-07
